,A1,A2,E1,E2
0,0.0,0.0,0.0,0.0
1,-0.26495686857981743,-1.2903164652697106e-17,0.5275003308629376,8.675271601730962e-17
2,-0.924281599467481,3.1450546277787784e-17,1.8401442172190596,-2.3722271894916084e-16
3,-1.2599931401643851,-3.7715928531834975e-17,2.5085094109252046,1.3472115888953368e-16
4,-1.3757688459535264,-1.7527773883193228e-13,2.7390062590995465,-2.0028215881488444e-13
5,-1.6413412059238546,5.014796777969478e-13,3.267731966429815,7.495867776264867e-13
6,-1.75483754525304,-1.6850067344011054e-13,3.493690843696076,6.150444045022999e-13
7,-1.7875974447810146,-1.5935331627988962e-13,3.558912243438114,5.811785822119387e-13
8,-1.8377443900050965,-1.3319153487940886e-13,3.6587493616047553,4.881445680934925e-13
9,-1.8330187951430543,-1.1689290378233212e-13,3.6493412157936493,4.2905535085630463e-13
10,-1.8259388067741829,-1.137613637970088e-13,3.638601236782161,4.0913445642368035e-13
11,-1.757879022482127,-8.620080885959348e-14,3.4933925750456805,3.3322013948416385e-13
12,-1.7157830400115393,-9.803724136436983e-14,3.434164648484493,3.175423399405501e-13
13,-1.7064595370352913,-9.720687784441687e-14,3.439587653219432,3.0883500982031e-13
14,-1.6756092528389885,-9.545360809468131e-14,3.4483553696740925,3.1019019746311287e-13
15,-1.6520659154346164,-9.210434843009735e-14,3.4473357608868733,2.9989751571283225e-13
16,-1.6415072711742165,-9.181795274122229e-14,3.4450931249660823,2.9868853858594045e-13
17,-1.6071725838771682,-7.917000923367726e-14,3.431389635477675,2.5903954435387947e-13
18,-1.5814764180405994,-7.126773065690977e-14,3.415652453063169,2.3420132239997237e-13
19,-1.5700695079203961,-5.577211695140504e-14,3.4073722754956313,2.056935632349812e-13
20,-1.533397363856177,-1.0344707573279918e-13,3.3760572955249595,2.6884279768296986e-13
21,-1.506311755106792,-4.812662545428004e-14,3.3488680108661852,1.259999756107248e-13
22,-1.4943730290724477,-5.239627927298874e-14,3.3359121571063075,1.2392872221257726e-13
23,-1.4562994223694345,-3.5499034677838115e-14,3.2910457138629026,1.1124184058819111e-13
24,-1.4284453190827517,-6.846470259837429e-14,3.255127786019196,8.87027891191678e-14
25,-1.4162316426036023,-6.74577088730825e-14,3.238630848635369,8.620211381261316e-14
26,-1.3775142336072754,-6.24489038205172e-14,3.1835906815963706,8.201706594288528e-14
27,-1.3493923062109232,-5.971959096472753e-14,3.141205475154514,7.431209948557463e-14
28,-1.33711026524312,-5.837565606246762e-14,3.1221083746864555,7.191481430800843e-14
29,-1.2983563657716515,-5.626440672864577e-14,3.059691154137096,7.229365286192255e-14
30,-1.2703660077622654,-5.366724154026005e-14,3.0127068127319947,6.773327046420566e-14
31,-1.2581798847761263,-5.280323889848162e-14,2.9917857475667833,6.750668586886523e-14
32,-1.2198704358899584,-4.953941332327295e-14,2.9242942539847694,6.025362226771849e-14
33,-1.1923260340807549,-4.8020021644827497e-14,2.8742449945350814,6.165978151633481e-14
34,-1.1803646352400372,-3.8807957685632816e-14,2.852136357421622,7.66889185267447e-14
35,-1.1428747215000774,-5.914449905019886e-14,2.7814544885394086,2.598750629066189e-14
36,-1.116019567010398,0.0,2.7295915923156304,1.238919005099074e-13
37,-1.1043820570174963,1.9781085904647552e-16,2.7068133914298014,1.2157264906578116e-13
38,-1.0679984299174934,-5.974170363436412e-16,2.6344706226509667,1.153279098804518e-13
39,-1.0420165926528737,-1.5703774095109636e-16,2.581806234229863,1.1093594175777336e-13
40,-1.0307774732113388,-1.9134195533881274e-16,2.5587764870697773,1.0864438816679841e-13
41,-0.9957134942938083,-1.6236559993950595e-16,2.486003200259693,1.0433889856265352e-13
42,-0.9707399411439969,-7.070157866876274e-16,2.433347901255096,1.01574208580976e-13
43,-0.9599532910601395,-6.865639185571902e-16,2.4104004088338478,9.94466198647461e-14
44,-0.9263616510196698,-7.060418150794513e-16,2.3381753205557048,9.513368332829934e-14
45,-0.9024908509347005,-7.737550453115989e-16,2.2861703191440816,9.073812339980035e-14
46,-0.8921939302534052,2.8199216778781972e-15,2.26356817485756,9.018487409029142e-14
47,-0.8601774530916554,-7.19578384406494e-15,2.1926589345505705,8.22896821456189e-14
48,-0.8374706799024361,1.669506128762664e-14,2.1418036019528977,8.652040800732798e-14
49,-0.8276869868579483,1.643028564591879e-14,2.1197507431681144,8.43840269594419e-14
50,-0.7973077870053166,1.5436718012420393e-14,2.050748631646826,8.162078057968879e-14
51,-0.7757993027279088,1.5107035571984746e-14,2.0014240208799006,7.581776644641454e-14
52,-0.7665411604342085,1.4858676892263746e-14,1.9800750908694917,7.458667943782016e-14
53,-0.7378283849251855,1.3946806539590257e-14,1.9134246273015207,6.992736568975628e-14
54,-0.7175306618001038,1.3465151867204777e-14,1.8659135259175357,6.746868442816276e-14
55,-0.7088014012865563,1.3220573740614889e-14,1.845382278518567,6.629886806411656e-14
56,-0.681757757892154,1.2449945459728396e-14,1.781406437466233,6.26040878073573e-14
57,-0.6626658761090558,1.1771261207706119e-14,1.7359104331264046,6.078464747883251e-14
58,-0.6544616733281152,1.4186744267332186e-14,1.7162768817754066,9.691337342478878e-14
59,-0.6290689184261803,6.1810017153432876e-15,1.6551985290019926,-9.462143649397694e-15
60,-0.6111642579507317,2.3318126663127504e-14,1.611852503220635,2.416875024418854e-13
