,MTC,HTC,DH,ISO1,ISO2
0,0.00032525561941006435,0.00034104242197866735,-0.0005456145345233933,0.011413737488545952,1.9418117433228285e-06
1,-0.0001359278906717133,0.0003866008292763984,-0.0004720435490816888,0.011182792986627176,0.0002778543555072635
2,-0.0006435852637831019,0.0003863749245321493,-0.0002648445075566559,0.010411484044604066,0.0006913023819465924
3,-0.0011965744405733067,0.00047766350141446667,3.580889824290449e-05,0.00936067121469273,0.001379058247563458
4,-0.001795134885100853,0.0004317214294433699,0.0004745485168127625,0.008170756789748813,0.001929513987169792
5,-0.002347442510337309,0.00047729757306419707,0.0007328883155977209,0.006699820996104896,0.002342526960373504
6,-0.0028994738308934648,0.0004313956411901465,0.0010839691735868772,0.0052260670238027124,0.002892683155123702
7,-0.003451320948330286,0.000385503044225594,0.0013902398568126808,0.0037494948728500495,0.0034427537656371043
8,-0.003957173130846731,0.000339622582639999,0.0016060877223154537,0.002132953994980172,0.003992738791905889
9,-0.0038188014995425203,0.00033967952557205984,0.0017487212549091016,0.0019821461194073,0.003717824730995725
10,-0.003634269150510792,0.00033975700529928374,0.0019391073456786088,0.0021010868979325905,0.003305517827817823
11,-0.003587021634366465,0.00033983355153581875,0.002083613304084468,0.0022204612424119074,0.0031676970643270525
12,-0.003402526125959123,0.00033991103126304443,0.002045401201224259,0.0022022514726704307,0.0034415769822737446
13,-0.003263896610284209,0.0003399801095740655,0.0021435812115897144,0.0023231432979537365,0.003303799010905277
14,-0.0032168148769470208,0.00034004825439439544,0.0021958810895889263,0.002444468689191067,0.003166035303577581
15,-0.0030325404122859985,0.0003858596376689671,0.002339227927255498,0.002566444429339921,0.003028307256344004
16,-0.002941121572133627,0.0004773489150547176,0.002430453213185246,0.0025668779952861486,0.00275384964473841
17,-0.002803707797063471,0.0006145963667431399,0.0025227484567256872,0.0028392280450616515,0.00261654238671529
18,-0.0027121784350353393,0.000614599167212608,0.002660210527559442,0.0031130955756645488,0.0024792850528348575
19,-0.0025750593849602774,0.0007518326165432887,0.002751168324087817,0.0035260647012844157,0.0023420919071300804
20,-0.0024381061176949556,0.0008433106920381653,0.0028412344892834772,0.004078352204909964,0.0020677270117894784
21,-0.0023013370535489666,0.0008890333936972378,0.0029304090231386287,0.004632590755285723,0.0016561903668130522
22,-0.002210489243071987,0.0009804946663597043,0.0030188702519208495,0.005188997135400416,0.0015191969176868287
23,-0.0020741070054846582,0.0010261977647168985,0.0031061723599663856,0.005473487031678039,0.001245053114978128
24,-0.00193634324448283,0.0010262239024536027,0.003200250866180045,0.006016019301505712,0.0009703672787202493
25,-0.0017535239844850786,0.0010262155010373971,0.0032909411733096465,0.006017753565298418,0.0006959524592291575
26,-0.0016165338765953695,0.000980456393241436,0.0033354838586690237,0.006020354960975773,0.0005588092376826703
27,-0.0014796358702640281,0.0010261856293353351,0.003425282534460713,0.005612371843729698,0.0002844657383954213
28,-0.0013427931248718656,0.0009804190536138574,0.003469111914749763,0.005342406406658439,0.0001473795730042043
29,-0.0012060424810406705,0.0009803938493652426,0.003558286448604915,0.00493594077022415,1.032906771490671e-05
30,-0.0010693655184582484,0.0009346198057156497,0.0036471043299249003,0.004118457054935829,-0.00012670004152103465
31,-0.0009327438168098051,0.0009803350394518068,0.003689863752608455,0.0034392078027798093,-0.00040093656048692636
32,-0.00047233395984274746,0.00098048439796212,0.00361263707868132,0.003541673075356332,-0.0006765566914151115
33,8.111572475229304e-05,0.0009807121696903483,0.0034971091387601873,0.0036261453611488807,-0.0010900189819030143
34,0.0007258000463777747,0.0009351808336200166,0.0034262130473322215,0.00357628527734075,-0.0016406173619170207
35,0.0012783287153631502,0.000981108903230769,0.0033063161138553263,0.002984760055573985,-0.0020537230513857294
36,0.0017847335072479907,0.0009355234247030509,0.003138755785336353,0.002672305155772617,-0.00274115084405713
37,0.0024279994648371867,0.0009356671822692246,0.002832217612703979,0.0025015532466733876,-0.0031539712527026663
38,0.0030710259583678684,0.0009357978709657502,0.002753207676103622,0.0016476499918943125,-0.003566684681050253
39,0.003667818052922256,0.0008901563829966617,0.0024888047842208678,0.0009363168597176013,-0.004253691684526803
40,0.004355752682951309,0.000844499025683251,0.002405782506597301,-4.541527547656434e-05,-0.004528841102109638
41,0.004860389124862995,0.0008445709044663343,0.0020467661297007386,-0.0004746431240954972,-0.004941112345185645
42,0.0054105415735754316,0.0008446325148544363,0.0015951870198649555,-0.0004893843662593734,-0.005353298004017013
43,0.00586890677588903,0.0007989303499879366,0.0010962120043884766,-8.812152118759832e-05,-0.005765362418501873
44,0.006372714303752016,0.0007989620886739794,0.0005960778681701028,0.00017859217129479604,-0.006314562922528398
45,0.006876300787871277,0.0007532347195588595,0.00023180086637986964,0.0004487743913469521,-0.006451941500763142
46,0.0073338739167631666,0.0007074933480834007,-0.0002709190007184366,0.00044704012756207126,-0.006726463300552217
47,0.007744973182620255,0.000753208581819563,-0.0007312360976657623,0.0011401634899972733,-0.007137942889365529
48,0.007420227171062376,0.0007529780096166599,-0.0013022160437144955,0.0024287141677075026,-0.00686171653670473
49,0.007140849803810318,0.000706982728676256,-0.0017834864771027348,0.0034468658423846216,-0.006585340411615855
50,0.007090544515839305,0.0007067530899666529,-0.002217182678580097,0.004597832405881875,-0.007132529685886292
51,0.00685741996787574,0.0006607839467655636,-0.002604374605757268,0.0054727636090450785,-0.0069935891951952425
52,0.0065329502610007705,0.0006605692439069882,-0.0029909423909953077,0.006345743765450275,-0.00685470576066726
