,x,A,D
0,10,1475.18,0.00098
1,20,1525.64,130.54
2,30,1558.63,7724.95
3,40,1567.04,21742.34
4,50,1569.77,25244.31
5,60,1570.94,29152.05
6,70,1571.23,36029.25
