,x,A,D
0,60,6857.06,128607945.05767
1,100,7011.06,421607442.98
2,150,7082.346,745562290.0789
3,200,7110.808,1122395753.65
4,250,7119.3606,1327054647.7608
5,308,7121.14,1435753590.91478
