,x,A,D
0,300,14021.87,20531919345.6887
1,350,14057.39,28633796708.40249
2,400,14079.715,31699023845.688198
3,450,14091.44,36352496826.02545
4,500,14097.026867,38248655791.13151
5,550,14099.6365,40376419285.79497
6,600,14100.39,41359051300.0037
7,616,14100.40868,41390670495.56345
