,x,A,D
0,400,34228.18,755172725696.5605
1,600,34697.86,1588298961504.374
2,800,34903.84,2178062858266.3345
3,1000,35007.197,3016362857218.9927
4,1200,35045.8,3506856339158.6196
5,1400,35057.19,3833361256391.3335
6,1500,35058.27,3876805851597.298
7,1600,35058.29,3879167348821.319
